docidx	x	y	z
0	38	-48	49
0	-4	-70	50
0	-34	-52	60
0	-23	15	67
0	-23	-20	68
0	42	-47	-19
0	25	-35	-8
0	-25	-45	-2
0	52	-62	14
0	21	-81	28
1	-28	42	20
1	38	24	28
1	2	20	28
1	-2	14	44
1	-18	-8	60
1	28	4	52
1	40	-54	44
1	-30	-16	20
1	30	26	12
1	-24	22	0
1	16	20	8
1	14	0	4
1	14	6	4
1	-8	-26	4
1	8	-20	12
1	-10	-2	8
1	4	-2	12
1	4	-62	-32
1	-26	-56	-32
1	-40	-48	-32
1	54	-48	-32
1	-30	22	20
1	18	10	28
1	-30	40	20
1	34	28	28
1	-2	16	44
1	18	34	-4
1	-22	-6	60
1	24	4	56
1	38	-50	36
1	30	20	12
1	-6	18	4
1	10	4	12
1	-4	-22	8
1	6	-20	12
1	6	-4	8
1	2	-62	-32
1	-28	44	8
1	32	30	28
1	-6	4	32
1	10	16	36
1	-28	-14	64
1	18	-4	60
1	-4	-4	52
1	4	-10	64
1	-32	-26	52
1	-34	-32	48
1	30	-58	40
1	28	14	12
1	12	10	16
1	-22	14	4
1	22	12	8
1	-16	-6	0
1	18	-2	0
1	-8	-24	0
1	6	-24	12
1	14	-58	-32
1	6	-60	-24
1	-28	-58	-32
1	24	-56	-28
1	-20	-38	28
1	-2	-16	64
1	-14	-20	56
1	-20	-32	48
1	-22	-34	44
1	-24	-10	0
1	2	-62	-20
1	10	-52	-24
1	-32	-54	-28
1	18	-54	-36
1	-8	-18	44
1	2	-2	32
1	-8	-18	60
1	-14	-20	56
1	24	-12	52
1	-34	-32	48
1	44	-22	40
1	-36	-30	44
1	18	-66	48
1	30	4	12
1	-24	-6	4
1	-20	-4	0
1	-30	-54	-36
1	20	-54	-36
1	-28	-56	-32
1	14	-48	-24
1	10	-50	-20
2	-38	-22	60
2	-38	-22	60
2	-38	-25	60
2	-38	-25	50
2	-38	-25	50
2	-37	-25	50
2	-37	-31	50
2	-37	-31	66
2	-37	-31	66
2	-27	-24	64
2	-30	-24	64
2	-30	-32	64
2	-30	-32	64
2	-30	-32	64
2	-35	-32	64
2	-35	-35	64
2	-35	-35	67
2	-35	-35	67
2	-3	-37	59
2	-6	-37	59
2	-6	-40	59
2	-6	-40	52
2	-6	-40	52
2	-5	-40	52
2	-5	-36	52
2	-5	-36	56
2	-5	-36	56
2	-39	-25	61
2	-52	-25	61
2	-52	-28	61
2	-52	-28	50
2	-52	-28	50
2	-38	-28	50
